Month,New Papers,New Papers Cumulative,Revised Papers,Revised Papers Cumulative,Total Submissions,Total Submissions Cumulative
"Nov, 2013",60,60,13,13,73,73
"Dec, 2013",49,109,21,34,70,143
"Jan, 2014",54,163,20,54,74,217
"Feb, 2014",66,229,21,75,87,304
"Mar, 2014",43,272,30,105,73,377
"Apr, 2014",66,338,33,138,99,476
"May, 2014",81,419,21,159,102,578
"Jun, 2014",72,491,35,194,107,685
"Jul, 2014",67,558,27,221,94,779
"Aug, 2014",80,638,42,263,122,901
"Sep, 2014",93,731,39,302,132,1033
"Oct, 2014",88,819,31,333,119,1152
"Nov, 2014",81,900,39,372,120,1272
"Dec, 2014",95,995,34,406,129,1401
"Jan, 2015",114,1109,33,439,147,1548
"Feb, 2015",88,1197,38,477,126,1674
"Mar, 2015",120,1317,63,540,183,1857
"Apr, 2015",119,1436,61,601,180,2037
"May, 2015",112,1548,57,658,169,2206
"Jun, 2015",128,1676,60,718,188,2394
"Jul, 2015",159,1835,63,781,222,2616
"Aug, 2015",159,1994,83,864,242,2858
"Sep, 2015",163,2157,72,936,235,3093
"Oct, 2015",191,2348,91,1027,282,3375
"Nov, 2015",227,2575,73,1100,300,3675
"Dec, 2015",194,2769,82,1182,276,3951
"Jan, 2016",202,2971,91,1273,293,4244
"Feb, 2016",271,3242,122,1395,393,4637
"Mar, 2016",366,3608,154,1549,520,5157
"Apr, 2016",345,3953,145,1694,490,5647
"May, 2016",388,4341,165,1859,553,6200
"Jun, 2016",400,4741,133,1992,533,6733
"Jul, 2016",385,5126,150,2142,535,7268
"Aug, 2016",448,5574,175,2317,623,7891
"Sep, 2016",438,6012,159,2476,597,8488
"Oct, 2016",455,6467,211,2687,666,9154
"Nov, 2016",463,6930,189,2876,652,9806
"Dec, 2016",557,7487,209,3085,766,10572
"Jan, 2017",586,8073,225,3310,811,11383
"Feb, 2017",623,8696,249,3559,872,12255
"Mar, 2017",812,9508,333,3892,1145,13400
"Apr, 2017",740,10248,286,4178,1026,14426
"May, 2017",958,11206,362,4540,1320,15746
"Jun, 2017",1097,12303,405,4945,1502,17248
"Jul, 2017",977,13280,397,5342,1374,18622
"Aug, 2017",987,14267,476,5818,1463,20085
"Sep, 2017",1059,15326,451,6269,1510,21595
"Oct, 2017",1206,16532,494,6763,1700,23295
"Nov, 2017",1196,17728,500,7263,1696,24991
"Dec, 2017",1098,18826,447,7710,1545,26536
"Jan, 2018",1247,20073,565,8275,1812,28348
"Feb, 2018",1227,21300,528,8803,1755,30103
"Mar, 2018",1482,22782,613,9416,2095,32198
"Apr, 2018",1494,24276,553,9969,2047,34245
"May, 2018",1932,26208,638,10607,2570,36815
"Jun, 2018",1867,28075,650,11257,2517,39332
"Jul, 2018",1727,29802,677,11934,2404,41736
"Aug, 2018",1861,31663,694,12628,2555,44291
"Sep, 2018",1915,33578,629,13257,2544,46835
"Oct, 2018",2119,35697,797,14054,2916,49751
"Nov, 2018",1955,37652,735,14789,2690,52441
"Dec, 2018",1952,39604,707,15496,2659,55100
"Jan, 2019",2173,41777,853,16349,3026,58126
"Feb, 2019",2082,43859,695,17044,2777,60903
"Mar, 2019",2408,46267,884,17928,3292,64195
"Apr, 2019",2244,48511,842,18770,3086,67281
"May, 2019",2509,51020,918,19688,3427,70708
"Jun, 2019",2355,53375,854,20542,3209,73917
"Jul, 2019",2614,55989,986,21528,3600,77517
"Aug, 2019",2375,58364,951,22479,3326,80843
"Sep, 2019",2644,61008,910,23389,3554,84397
"Oct, 2019",2909,63917,1013,24402,3922,88319
"Nov, 2019",2564,66481,925,25327,3489,91808
"Dec, 2019",2302,68783,852,26179,3154,94962
"Jan, 2020",2657,71440,992,27171,3649,98611
"Feb, 2020",2744,74184,1022,28193,3766,102377
"Mar, 2020",3037,77221,1167,29360,4204,106581
"Apr, 2020",3413,80634,1249,30609,4662,111243
"May, 2020",3797,84431,1361,31970,5158,116401
"Jun, 2020",3819,88250,1327,33297,5146,121547
"Jul, 2020",3696,91946,1318,34615,5014,126561
"Aug, 2020",3186,95132,1137,35752,4323,130884
"Sep, 2020",3151,98283,1201,36953,4352,135236
"Oct, 2020",3188,101471,1235,38188,4423,139659
"Nov, 2020",3006,104477,1121,39309,4127,143786
"Dec, 2020",3023,107500,1193,40502,4216,148002
"Jan, 2021",3004,110504,1259,41761,4263,152265
"Feb, 2021",3156,113660,1230,42991,4386,156651
"Mar, 2021",3524,117184,1431,44422,4955,161606
"Apr, 2021",3250,120434,1262,45684,4512,166118
"May, 2021",3229,123663,1272,46956,4501,170619
"Jun, 2021",3000,126663,1192,48148,4192,174811
"Jul, 2021",2934,129597,1141,49289,4075,178886
"Aug, 2021",2847,132444,1143,50432,3990,182876
"Sep, 2021",3026,135470,1141,51573,4167,187043
"Oct, 2021",3061,138531,1162,52735,4223,191266
"Nov, 2021",2870,141401,1142,53877,4012,195278
"Dec, 2021",2965,144366,1049,54926,4014,199292
"Jan, 2022",2855,147221,1080,56006,3935,203227
"Feb, 2022",2646,149867,1020,57026,3666,206893
"Mar, 2022",3189,153056,1120,58146,4309,211202
"Apr, 2022",2695,155751,1084,59230,3779,214981
"May, 2022",3087,158838,1173,60403,4260,219241
"Jun, 2022",2891,161729,1050,61453,3941,223182
"Jul, 2022",2985,164714,1043,62496,4028,227210
"Aug, 2022",2905,167619,1053,63549,3958,231168
"Sep, 2022",3283,170902,1001,64550,4284,235452
"Oct, 2022",3211,174113,1110,65660,4321,239773
"Nov, 2022",2993,177106,1107,66767,4100,243873
"Dec, 2022",3010,180116,997,67764,4007,247880
"Jan, 2023",2987,183103,1099,68863,4086,251966
"Feb, 2023",2995,186098,1147,70010,4142,256108
"Mar, 2023",3447,189545,1285,71295,4732,260840
"Apr, 2023",2955,192500,1146,72441,4101,264941
"May, 2023",3104,195604,1297,73738,4401,269342
"Jun, 2023",3267,198871,1229,74967,4496,273838
"Jul, 2023",3177,202048,1180,76147,4357,278195
"Aug, 2023",3297,205345,1263,77410,4560,282755
"Sep, 2023",3587,208932,1229,78639,4816,287571
"Oct, 2023",3348,212280,1334,79973,4682,292253
"Nov, 2023",3623,215903,1374,81347,4997,297250
"Dec, 2023",3367,219270,1222,82569,4589,301839
"Jan, 2024",3221,222491,1348,83917,4569,306408
"Feb, 2024",3374,225865,1295,85212,4669,311077
"Mar, 2024",3747,229612,1442,86654,5189,316266
"Apr, 2024",3286,232898,1368,88022,4654,320920
"May, 2024",3576,236474,1422,89444,4998,325918
"Jun, 2024",3670,240144,1404,90848,5074,330992
"Jul, 2024",3712,243856,1440,92288,5152,336144
"Aug, 2024",3469,247325,1412,93700,4881,341025
"Sep, 2024",4002,251327,1413,95113,5415,346440
"Oct, 2024",4050,255377,1636,96749,5686,352126
"Nov, 2024",3685,259062,1466,98215,5151,357277
"Dec, 2024",3837,262899,1293,99508,5130,362407
"Jan, 2025",3703,266602,1511,101019,5214,367621
"Feb, 2025",3646,270248,1389,102408,5035,372656
"Mar, 2025",4083,274331,1414,103822,5497,378153
"Apr, 2025",3838,278169,1526,105348,5364,383517
"May, 2025",4331,282500,1472,106820,5803,389320
"Jun, 2025",3948,286448,1415,108235,5363,394683
"Jul, 2025",4049,290497,1585,109820,5634,400317
"Aug, 2025",3916,294413,1405,111225,5321,405638
"Sep, 2025",4770,299183,1588,112813,6358,411996
"Oct, 2025",4736,303919,1625,114438,6361,418357
"Nov, 2025",3884,307803,1541,115979,5425,423782
"Dec, 2025",4394,312197,1422,117401,5816,429598
"Jan, 2026",3924,316121,1556,118957,5480,435078
"Feb, 2026",3993,320114,1536,120493,5529,440607
"Mar, 2026",4703,324817,1757,122250,6460,447067
"Apr, 2026",4265,329082,1559,123809,5824,452891
"May, 2026",5165,334247,1816,125625,6981,459872
"Jun, 2026",3858,338105,1512,127137,5370,465242
